evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.6421731032455025,1,,137,100
1,5,33,833,0.0015089818736420705,1,,129,100
2,11,73,873,2.559602645562298e-06,0,,122,100
3,16,101,901,1.3844427010984644e-08,0,,117,100
4,21,134,934,4.659698160866916e-07,0,,111,100
5,26,165,965,2.7842065624162225e-09,0,,106,100
6,32,202,1002,1.1322051301286348e-09,0,,101,100
