id,author,title,year,status,books3_path
41,J.D. Salinger,The Catcherinthe Rye,1951,©,the-eye.eu/public/Books/Bibliotik/T/The CatcherintheRye-J.D.Salinger.epub.txt
42,Sheryl Sandberg,Lean In,2013,©,the-eye.eu/public/Books/Bibliotik/L/LeanIn- SherylSandberg.epub.txt
43,Sarah Silverman,The Bedwetter,2010,©,the-eye.eu/public/Books/Bibliotik/T/The Bedwetter-SarahSilverman.epub.txt
44,Rachel Louise Snyder,No Visible Bruises,2019,©,the-eye.eu/public/Books/Bibliotik/N/NoVisible Bruises-RachelLouiseSnyder.epub.txt
45,Lysa Ter Keurst,Unglued,2012,©,"the-eye.eu/public/Books/Bibliotik/L/Lysa TerKeurst,Unglued.epub.txt"
46,Lysa Ter Keurst,Embraced,2018,©,the-eye.eu/public/Books/Bibliotik/E/Embraced- LysaTerkeurst.epub.txt
47,J.R.R. Tolkien,The Hobbit,1937,©,the-eye.eu/public/Books/Bibliotik/T/TheHobbit (HoughtonMifflinHarcourt)(75thAnniversary Edition)[Epub]-J.R.R.Tolkien.epub.txt
48,Jacqueline Woodson,Brown Girl Dreaming,2014,©,the-eye.eu/public/Books/Bibliotik/B/BrownGirl Dreaming-JacquelineWoodson.epub.txt
49,Jacqueline Woodson,Another Brooklyn,2016,©,the-eye.eu/public/Books/Bibliotik/A/Another Brooklyn-JacquelineWoodson.epub.txt
50,Jonathan Zittrain,The Futureofthe Internet and Howto Stop It,2008,©,the-eye.eu/public/Books/Bibliotik/J/Jonathan Zittrain-TheFutureoftheInternet.epub.txt
