evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,1,5,805,0.014886755606876004,1,,181,100
1,10,49,849,0.0280100702059311,1,,168,100
2,16,74,874,9.822515593406066e-06,0,,158,100
3,24,119,919,6.282909530234599e-05,0,,147,100
4,44,231,1031,0.40162566451164783,1,,113,100
