evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,17,110,910,1.6539174087205326e-05,0,,271,100
1,50,326,1126,2.1410659753199456e-23,0,,227,100
2,68,438,1238,2.641088106917351e-25,0,,188,100
3,77,500,1300,6.54111617442064e-31,0,,168,100
4,83,544,1344,4.114818955438351e-37,0,,152,100
